ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
487,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,northern,34,34,,-119,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,12,1.407677863,0.111111111,0.08,km2,-0.928,0.168,0.028,0.000784,4.698970004,8.396199347,7.877827116
488,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,northern,25,25,,-113,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,14,0.572236663,0.090909091,0.057,km2,-0.543,0.1,0.048,0.002304,5.602059991,8.951823035,7.944588413
489,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,,,,,,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,17,0.849867036,0.071428571,0.378,km2,-0.786,0.194,0.052,0.002704,7.397940009,11.03411084,10.20338649
490,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,southern,-5,5,,135,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,17,0.646042831,0.071428571,-0.058,km2,-1.102,0.174,0.065,0.004225,6.698970004,10.24054925,9.37790778
491,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,northern,,,,,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,20,0.606983185,0.058823529,-0.153,km2,-0.891,0.123,0.045,0.002025,6.414973348,11.04713073,9.988651959
492,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,northern,,,,,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent ,A2b,log-log,21,1.482846882,0.055555556,0.347,km2,-0.913,0.21,0.023,0.000529,6.414973348,11.04713073,9.988607378
493,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,,,,,,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent ,A2b,log-log,23,0.775298706,0.05,-0.226,km2,-2.146,0.32,0.082,0.006724,6.698970004,10.24054925,9.37790778
494,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,,,,,,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent ,A2b,log-log,27,0.513927934,0.041666667,-0.064,km2,-0.874,0.135,0.05,0.0025,6,10.56435828,9.260012945
495,Lawlor 1986,Biol J of the Linnean Society 28: 99-125,,,,,,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent ,A2b,log-log,47,0.857563122,0.022727273,0.289,km2,-1.073,0.227,0.035,0.001225,6,10.56435828,9.260012945
496,Lawlor 1998,J of Mammalogy 79: 1111-1130,northern,40,40,8,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,16,0.700996635,0.076923077,0.628,km2,-0.14,0.128,0.045,0.002025,8.103803721,9.484442208,8.954995839
497,Lawrey 1991,The Bryologist 94: 377-382,southern,-45.2,45.2,,168.5,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.718533343,,0.394,cm2,1.026,0.158,,,-2,0,
498,Lawrey 1991,The Bryologist 94: 377-382,northern,38.5,38.5,,-78.5,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.416526303,,0.212,cm2,0.86,0.162,,,-2,0,
499,Lawrey 1991,The Bryologist 94: 377-382,southern,-43,43,,172,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.654960691,,0.363,cm2,1.111,0.187,,,-2,0,
500,Lawrey 1991,The Bryologist 94: 377-382,northern,38.9,38.9,,-77,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.615518437,,0.002,cm2,0.79,0.197,,,-2,0,
501,Lawrey 1991,The Bryologist 94: 377-382,,,,,,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,1.010575633,,0.118,cm2,0.93,0.203,,,-2,0,
502,Lawrey 1991,The Bryologist 94: 377-382,southern,-43,43,,172,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.968399234,,0.25,cm2,1.07,0.205,,,-2,0,
503,Lawrey 1991,The Bryologist 94: 377-382,northern,38.9,38.9,,-77,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,independent,,log-log,,0.625578271,,-0.563,cm2,0.573,0.284,,,-2,0,
504,Lawson et al 1970,J of Ecology 58: 371-398,northern,6.15,6.15,,-0.92,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,5,2.903069241,0.5,1.196,m2,1.196,0.304,0.019,0.000361,1.77815125,3.997997636,3.550595207
505,Lawson et al 1970,J of Ecology 58: 371-398,northern,6.15,6.15,,-0.92,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,9,1.488237944,0.166666667,0.316,m2,0.316,0.479,0.086,0.007396,1.477121255,3.998346537,3.298022978
506,Lawton & Price 1979,J of Animal Ecology 48: 619-637,northern,,,,,terrestrial,non-forest,microlepidoptera,insects,herbivores,flying,flying,-1.15,no,independent,,log-log,59,0.546643022,0.017857143,-0.206,10x10 km,-1.502,0.162,0.037,0.001369,8,11.51745983,10.79714264
507,Lawton & Price 1979,J of Animal Ecology 48: 619-637,northern,,,,,terrestrial,non-forest,agromyzid flies,insects,herbivores,flying,flying,-2.398,no,independent,,log-log,61,0.640147536,0.017241379,-0.178,10x10 km,-1.29,0.139,0.026,0.000676,8,11.51745983,10.79714264
508,Lawton & Price 1979,J of Animal Ecology 48: 619-637,northern,,,,,terrestrial,non-forest,parasitoids,insects,parasites,transfer,,-2.301029996,yes,independent,,log-log,61,0.700996635,0.017241379,-0.292,10x10 km,-2.028,0.217,0.037,0.001369,8,11.51745983,10.79714264
509,Ricklefs & Schluter 19XX,In Ricklefs & Schluter p 178-184,,,,,,terrestrial,,phytophagous insects,insects,herbivores,flying,flying,-2.3979,no,,,log-log,6,2.626750683,0.333333333,-1.17329165,km2,-4.01182571,0.47308901,,,,,11.25
510,Leather 1986,J of Animal Ecology 55: 841-860,northern,,,,,terrestrial,non-forest,"Insects(Lepidoptera, Hymenoptera, Diptera, Homoptera)",insects,herbivores,flying,flying,-2.301,no,independent,,log-log,29,0.594326311,0.038461538,-0.251,10x10 km,-3.195,0.368,0.113,0.012769,8.480006943,11.36995761,10.93518974
511,Leather 1986,J of Animal Ecology 55: 841-860,northern,,,,,terrestrial,forest,"Insects(Lepidoptera, Hymenoptera, Diptera, Homoptera)",insects,herbivores,flying,flying,-2.301,no,independent,,log-log,18,0.928727364,0.066666667,0.071,10x10 km,-3.225,0.412,0.096,0.009216,8,11.35998717,10.76124844
512,Leather 1986,J of Animal Ecology 55: 841-860,northern,,,,,terrestrial,forest,"Insects(Lepidoptera, Hymenoptera, Diptera, Homoptera)",insects,herbivores,flying,flying,-2.301,no,independent,,log-log,12,1.109823521,0.111111111,-0.841,10x10 km,-7.601,0.845,0.198,0.039204,9.829946696,11.32999998,10.87292968
513,Leather 1991,Oikos 60: 40-48,northern,,,,,terrestrial,forest,macrolepidoptera,insects,herbivores,flying,flying,-1.15,no,,,log-log,7,1.107001747,0.25,-1.692,10x10 km,-9.348,0.957,0.318,0.101124,9.824594385,11.29915436,6.831393644
514,Leather 1991,Oikos 60: 40-48,northern,,,,,terrestrial,forest,macrolepidoptera,insects,herbivores,flying,flying,-1.15,no,,,log-log,5,1.510343556,0.5,0.41,50x50km,-5.5308,0.632,0.17,0.0289,10.01724208,11.60626579,4.188151963
515,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,17.75,17.75,10.5,,terrestrial,islands,amphib/reptiles,vertebrates,omnivores,mobility,mobile,2.517998945,no,independent,,log-log,46,0.966132911,0.023255814,0.333,km2,-1.347,0.28,,,,,9.706376527
516,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,14,14,8,,terrestrial,,orchids,plants,autotrophs,seeds,sessile,0.698970004,no,independent,,log-log,12,1.066133341,0.111111111,-0.578,km2,-3.092,0.419,,,,,8.861227847
517,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,14,14,8,,terrestrial,,sedges,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,12,1.104192704,0.111111111,-0.664,km2,-3.202,0.423,,,,,8.861227847
518,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,14,14,8,,terrestrial,islands,grasses,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,13,1.095840663,0.1,0.202,km2,-1.328,0.255,,,,,8.797559051
519,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,28.75,28.75,2.5,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,7,0.470991401,0.25,2.03,km2,0.602,0.238,,,,,9.034284654
520,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.206825876,m2,1.206825876,0.282,,,-2,1.806179974,
521,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.155336037,m2,1.155336037,0.253,,,-2,1.806179974,
522,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.328379603,m2,1.328379603,0.337,,,-2,1.806179974,
523,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.136720567,m2,1.136720567,0.333,,,-2,1.806179974,
524,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.149219113,m2,1.149219113,0.186,,,-2,1.806179974,
525,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,B1,log-log,55,,0.019230769,1.225309282,m2,1.225309282,0.321,,,-2,1.806179974,
526,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,0.648360011,m2,0.648360011,0.097,,,-2,1.806179974,
527,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,1.013258665,m2,1.013258665,0.338,,,-2,1.806179974,
528,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,0.697229343,m2,0.697229343,0.112,,,-2,1.806179974,
529,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,0.783188691,m2,0.783188691,0.173,,,-2,1.806179974,
530,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,0.808210973,m2,0.808210973,0.157,,,-2,1.806179974,
531,Leps & Stursa 1989,Vegetatio 83: 249-257,northern,49.5,49.5,,14,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,43,,0.025,0.603144373,m2,0.603144373,0.184,,,-2,1.806179974,
532,Levenson 1981,Ecological Studies 41: 13-39,northern,43,43,,-88,terrestrial,forest,woody plants,plants,autotrophs,seeds,sessile,4.349,no,independent,,log-log,43,0.134810788,0.025,1.388,ha,1.3,0.022,0.025,0.000625,2.477121255,5.60162548,4.689575216
533,Linder 2001,J Biogeogr 28: 169-182,,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,228,0.238417017,0.004444444,-10.259,km2,-25.055,2.466,0.683,0.466489,10.71391035,10.87866539,10.85324327
534,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",southern,-40,40,,145,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,4,1.985655641,1,-0.1,km2,-1.904,0.301,0.06,0.0036,6.477121255,9.123851641,8.262035582
535,Lobo & Davis 1999,Div Distr 5: 91-103,northern,3.765,3.765,76.13,,terrestrial,forest,Aphodiinae beetles,insects,herbivores,flying,flying,-2.397940009,no,independent,,log-log,21,0.608400231,0.055555556,1.232,km2,0.788,0.074,0.026,0.000676,5.301029996,10.29885308,9.376709015
536,Lobo & Davis 1999,Div Distr 5: 91-103,northern,3.765,3.765,76.13,,terrestrial,forest,Scarabaeidae beetles,insects,herbivores,flying,flying,-2.397940009,no,independent,,log-log,23,0.801724935,0.05,1.058,km2,0.362,0.116,0.028,0.000784,5.301029996,10.29885308,9.35103295
537,Lobo & Martín-Piera 1999,Acta Oecologica 20:587-597,northern,,,,,terrestrial,,dung beetles (Aphodiinae),insects,decomposers,flying,mobile,-0.351,no,both,,log-log,26,0.753108872,0.043478261,1.207,km2,0.685,0.087,0.021,0.000441,5.301029996,11.77579243,10.41327947
538,Lobo & Martín-Piera 1999,Acta Oecologica 20:587-597,northern,,,,,terrestrial,,dung beetles (Geotrupinae),insects,decomposers,flying,mobile,-0.351,no,both,,log-log,26,0.847955755,0.043478261,0.39,km2,-0.426,0.136,0.029,0.000841,5.301029996,11.77579243,10.41327947
539,Lobo & Martín-Piera 1999,Acta Oecologica 20:587-597,northern,,,,,terrestrial,,dung beetles (Scarabaeinae),insects,decomposers,flying,mobile,-0.351,no,both,,log-log,27,0.818036935,0.041666667,1.043,km2,0.521,0.087,0.019,0.000361,5.301029996,11.77579243,10.41327947
540,Lodz-Crozet et al. 2001,Freshw Biol 46: 1791-1809,,,,,,water,streams,chironomids,insects,omnivores,flying,mobile,-3,no,independent,,log-log,6,0.426032157,0.333333333,1.497,km2,2.253,-0.126,0.143,0.020449,6.62324929,8.924279286,8.182842459
541,Lomolino & Perault 2001,Global Ecology & Biogeography 10: 113-132,northern,47.7,47.7,,-123.5,terrestrial,forest,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent,,log-log,20,0.45622195,0.058823529,0.642,ha,0.038,0.151,0.075,0.005625,3.968482949,5.770189023,5.371548093
542,Lomolino 1982,Oecologia 54: 72-75,northern,45,45,,-75,terrestrial,islands,terrestrial mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,19,1.26706432,0.0625,0.814,km2,-0.542,0.226,0.034,0.001156,2.602059991,6.77151399,5.679427897
543,Lomolino et al 1989,Ecology 70: 180-194,northern,35.195,35.195,7.47,,terrestrial,forest,montaine forest mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,27,1.201133432,0.041666667,-0.185,km2,-2.513,0.388,0.051,0.002601,6.838219222,10.04666409,8.850383006
545,Lonsdale 1999,Ecology 80: 1522-1536,,,,,,terrestrial,,exotic plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,104,1.390023625,0.00990099,1.96,km2,0.34,0.27,0.01,0.0001,5.505149978,13,
546,Lonsdale 1999,Ecology 80: 1522-1536,,,,,,terrestrial,,native plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,108,0.58896423,0.00952381,1.56,km2,0.48,0.18,0.03,0.0009,5.505149978,13,
547,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,59.75,59.75,0.5,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,22,0.547973699,0.052631579,2.551,km2,-0.341,0.482,,,,,3.903089987
548,Ma et al 2002,"Agriculture, Ecosystems & Environment 89: 137-148",northern,60.425,60.425,0.09,24.62,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,59,0.646042831,0.017857143,1.353,m2,1.353,0.115,0.022,0.000484,1.477121255,3.431363764,2.802135699
549,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,6,6,2,,terrestrial,islands,land birds,birds,omnivores,flying,flying,2.0725,no,independent,,log-log,21,1.643786178,0.055555556,0.553,km2,-1.673,0.371,,,,,10.83019523
550,MacDonald 1969,Ecol Monogr 39: 33-60,northern,,,,,water,marine,molluscs,molluscs,omnivores,pelagic larvae,sessile,-1.15490196,no,independent,,log-log,11,0.339465352,0.125,0.895,km2,0.109,0.131,0.126,0.015876,4.290034611,5.947384702,5.220535988
551,MacGarvin 1982,J of Animal Ecology 51: 207-223,northern,0,0,,,terrestrial,non-forest,phytophagous insects,insects,herbivores,flying,flying,-2.3979,no,independent,,log-log,24,0.601336629,0.047619048,0.702,m2,0.702,0.07,0.024,0.000576,-0.638272164,3.828208614,2.668823718
552,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,,,,,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,26,1.521737659,0.043478261,0.394,km2,-1.322,0.286,0.027,0.000729,7.113943352,11.04713151,9.910895805
553,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,,,,,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,,log-log,26,1.499180198,0.043478261,-0.422,km2,-2.852,0.405,0.039,0.001521,7.113943352,11.04713151,9.910895805
554,MacRoberts & MacRoberts 1992,Phytologia 73: 49-56,northern,31.18,31.18,,-92.6,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,14,2.249399529,0.090909091,1.97,ha,1.106,0.216,0.013,0.000169,1,4.706376356,4.133858125
555,Magnussen 2002,MEPS 238: 211-225,northern,61,61,,-9,water,marine,fish,fish,omnivores,mobility,nekton,2.426,no,nested,,log-log,303,1.316957897,0.003333333,0.870403905,trawl hauls,,0.1975,,,,,
556,Magura et al 2001,J of Biogeography 28: 129-138,northern,49,49,,22.5,terrestrial,forest,carabid beetles,insects,omnivores,flying,mobile,-0.351,no,independent,,log-log,19,0.529501575,0.0625,1.444,ha,1.856,-0.103,0.045,0.002025,5.614791792,7.601566787,7.042882914
557,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,57,57,40,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,51,0.242652949,0.020833333,3.695,okänd,,-0.108,,,,,11.63964466
558,Rosenzweig 1995,from Rosenzweig 1995,,,,,,terrestrial,,rodents,mammals,herbivores,mobility,mobile,1.6866,no,,,log-log,7,,0.25,1.08,km2,-4.5,0.93,0.08,0.0064,,,12.39794001
559,Martin 1988,Ecology 69: 74-84,northern,34,34,,-110,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,8,1.431629261,0.2,0.595,ha,-2.305,0.725,0.15,0.0225,4.077367905,4.794139356,4.549943215
560,Martin 1988,Ecology 69: 74-84,northern,34,34,,-110,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,15,1.842138521,0.083333333,0.879,ha,-1.813,0.673,0.061,0.003721,3.891425943,4.82206996,4.518459979
561,Mason 2001,Biodiversity and Conservation 10: 495-510,northern,51.83,51.83,,1.17,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,33,1.456649991,0.033333333,1.066,ha,-0.058,0.281,0.025,0.000625,3,5.755874856,4.939354489
562,McClanahan 1994,Coral Reefs 13: 231-241,southern,-3.5,3.5,3,40,water,marine,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,3,1.270747062,,5.589,m2,5.589,-0.932,0.567,0.321489,3.84509804,4,3.946124603
563,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,22,22,,-107,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,4,2.272912254,1,0.466,km2,-1.682,0.358,0.053,0.002809,6.944482672,8.161368002,7.813747736
564,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,22,22,,-107,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,4,1.792273608,1,-0.451,km2,-2.881,0.405,0.098,0.009604,6.944482672,8.161368002,7.813747736
565,McDonald & Brown 1992,Conservation Biology 6: 409-415,,,,,,terrestrial,,small mountain boreal mammals,mammals,omnivores,mobility,mobile,1,no,independent,A2b,log-log,19,0.970673268,0.0625,-0.068,km2,-2.402,0.389,0.083,0.006889,6.698970004,8.658011397,8.04819623
566,Médail & Vidal 1998,Can J Bot 76: 321-331,northern,44,44,,6,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,48,1.127029026,0.022222222,1.375,ha,-0.585,0.49,0.052,0.002704,3,7.098297536,5.887729797
567,Michener 1979,Ann Missouri Bot Gard 66: 277-347,,,,,,terrestrial,,bees,insects,herbivores,flying,flying,-2.301029996,no,independent,,log-log,21,1.456649991,0.055555556,-1.254,km2,-5.67,0.736,0.083,0.006889,8.012837225,11.73800797,11.30488888
568,Miller 1984,J  of the Research on the Lepidoptera 23:282-296,northern,34,34,,-119,terrestrial,islands,butterflies,insects,herbivores,flying,flying,-0.151,no,independent,A2b,log-log,8,0.612664516,0.2,0.86,km2,-0.154,0.169,0.106,0.011236,6.414973348,8.396199347,8.053800386
569,Miller 1984,J  of the Research on the Lepidoptera 23:282-296,northern,34,34,,-119,terrestrial,islands,Orthoptera,insects,omnivores,flying,flying,-1.15,no,independent,A2b,log-log,8,0.734811246,0.2,0.831,km2,-0.453,0.214,0.109,0.011881,6.414973348,8.396199347,8.053800386
570,Miyashita et al 1998,Biological Conservation 86: 357-364,northern,35.675,35.675,0.09,139.735,terrestrial,forest,spiders,arthropods,carnivores,mobility,mobile,-2.301029996,no,independent,,log-log,7,1.74671057,0.25,1.039,ha,0.067,0.243,0.039,0.001521,3.301029996,5.431363764,4.913813852
571,Miyashita et al 1998,Biological Conservation 86: 357-364,northern,35.355,35.355,0.05,139.54,terrestrial,forest,spiders,arthropods,carnivores,mobility,mobile,-2.301029996,no,independent,,log-log,9,1.393781132,0.166666667,1.299,ha,0.547,0.188,0.037,0.001369,3.602059991,5.178976947,4.712279215
572,Miyashita et al 1998,Biological Conservation 86: 357-364,northern,35.355,35.355,0.05,139.54,terrestrial,forest,spiders,arthropods,carnivores,mobility,mobile,-2.301029996,no,independent,,log-log,10,1.098612289,0.142857143,1.332,ha,0.968,0.091,0.024,0.000576,3.602059991,7.698970004,6.702981672
573,Moody 2000,J of Biogeography 27: 711-723,northern,34,34,,-119,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,8,1.337207961,0.2,2.125,km2,0.667,0.243,0.056,0.003136,6.414973348,8.46834733,8.074862134
574,Morimoto & Miyakawa 1985,Mushi 50:19-85,northern,32,32,,140,terrestrial,islands,"weevils (Attelabidae, Apionidae, Brentidae, Curculionidae, Rhynchophoridae)",insects,herbivores,flying,flying,-1.15,no,independent,A2b,log-log,9,1.527524425,0.166666667,1.168,km2,-0.644,0.302,0.052,0.002704,6.579783597,7.958993665,7.514149134
575,Morrison 1997,J of Ecology 85: 441-454,northern,25,25,,-78,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,41,0.847955755,0.026315789,-0.291,m2,-0.291,0.427,0.072,0.005184,1.079470679,3.682119433,2.663148521
576,Morrison 1997,J of Ecology 85: 441-454,northern,23,23,,-76,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,81,0.477202013,0.012820513,-0.472,m2,-0.472,0.408,0.093,0.008649,1.784313894,4.21568699,2.998224846
577,Morrison 1998,Acta Oecologia 18:685-695,southern,-20,20,20,,terrestrial,islands,ants,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,13,0.317229857,0.1,0.71,km2,-0.352,0.177,0.165,0.027225,6.477121255,8.477121255,7.782472624
578,Mulugeta et al 2001,Weed Science 49: 217-223,northern,43.5,43.5,,-89.5,terrestrial,non-forest,weed,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,13,2.699583863,0.1,0.925,m2,0.925,0.182,0.008,0.000064,-1.204119983,2.709269961,1.86332286
579,Mulugeta et al 2001,Weed Science 49: 217-223,northern,43.5,43.5,,-89.5,terrestrial,non-forest,weed,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,2.410140783,0.090909091,0.809,m2,0.809,0.165,0.009,0.000081,-1.204119983,2.709269961,1.86332286
580,Davies & Smith 1997,"from Davies & Smith 1997 , Glob Ecol Biogeo Letters 7",northern,,,,,terrestrial,islands,butterflies,insects,herbivores,flying,flying,-0.151,no,independent,,log-log,11,1.316957897,0.125,0.8,km2,-0.76,0.26,,,7.892094603,11.0360697,10.27781334
581,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,27,27,,-113,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,15,0.359757028,0.083333333,-0.018,km2,-0.21,0.032,0.024,0.000576,5.602059991,8.800717078,7.849994918
582,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,27,27,,-113,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,15,1.259767503,0.083333333,0.499,km2,-0.635,0.189,0.032,0.001024,5.602059991,8.800717078,7.849994918
583,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,27,27,,-113,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,20,0.627024571,0.058823529,-0.019,km2,-0.445,0.071,0.025,0.000625,5.602059991,9.08350262,7.972048477
584,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,27,27,,-113,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,20,0.946072901,0.058823529,0.599,km2,-0.439,0.173,0.037,0.001369,5.602059991,9.08350262,7.972048477
585,Myers 1996,J mar biol Ass UK 76: 195-202,,,,,,water,marine,amphipods,arthropods,omnivores,mobility,nekton,-2.301029996,no,independent,,log-log,11,0.948272554,0.125,1.711,km2,0.763,0.158,0.048,0.002304,7.630132821,12.32056168,11.35044186
586,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,25,0.86144223,0.045454545,1.796,km2,-0.518,0.386,0.083,0.006889,10.26951294,12.37327989,11.84371354
587,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,25,0.662462707,0.045454545,1.021,km2,-0.753,0.296,0.086,0.007396,10.26951294,12.37327989,11.84371354
